order_id,stock_id,matched_order_dims,order_dims_values,stock_dims_values
O001,S001,"('length_m', 'breadth_m', 'height_m')","[1.34, 1.35, 0.87]","[2.75, 1.56, 1.47]"
O001,S001,"('length_m', 'height_m', 'breadth_m')","[1.34, 0.87, 1.35]","[2.75, 1.56, 1.47]"
O001,S001,"('breadth_m', 'length_m', 'height_m')","[1.35, 1.34, 0.87]","[2.75, 1.56, 1.47]"
O001,S001,"('breadth_m', 'height_m', 'length_m')","[1.35, 0.87, 1.34]","[2.75, 1.56, 1.47]"
O001,S001,"('height_m', 'length_m', 'breadth_m')","[0.87, 1.34, 1.35]","[2.75, 1.56, 1.47]"
O001,S001,"('height_m', 'breadth_m', 'length_m')","[0.87, 1.35, 1.34]","[2.75, 1.56, 1.47]"
O001,S004,"('length_m', 'height_m', 'breadth_m')","[1.34, 0.87, 1.35]","[3.12, 1.06, 1.41]"
O001,S004,"('breadth_m', 'height_m', 'length_m')","[1.35, 0.87, 1.34]","[3.12, 1.06, 1.41]"
O001,S005,"('length_m', 'breadth_m', 'height_m')","[1.34, 1.35, 0.87]","[3.36, 2.0, 1.34]"
O001,S005,"('breadth_m', 'length_m', 'height_m')","[1.35, 1.34, 0.87]","[3.36, 2.0, 1.34]"
O001,S005,"('breadth_m', 'height_m', 'length_m')","[1.35, 0.87, 1.34]","[3.36, 2.0, 1.34]"
O001,S005,"('height_m', 'breadth_m', 'length_m')","[0.87, 1.35, 1.34]","[3.36, 2.0, 1.34]"
O001,S007,"('length_m', 'breadth_m', 'height_m')","[1.34, 1.35, 0.87]","[3.83, 1.94, 1.28]"
O001,S007,"('breadth_m', 'length_m', 'height_m')","[1.35, 1.34, 0.87]","[3.83, 1.94, 1.28]"
O001,S008,"('length_m', 'breadth_m', 'height_m')","[1.34, 1.35, 0.87]","[3.68, 1.48, 1.48]"
O001,S008,"('length_m', 'height_m', 'breadth_m')","[1.34, 0.87, 1.35]","[3.68, 1.48, 1.48]"
O001,S008,"('breadth_m', 'length_m', 'height_m')","[1.35, 1.34, 0.87]","[3.68, 1.48, 1.48]"
