order_id,length_m,breadth_m,height_m,shade,pattern,grain,moles,hollows
O001,2.22,0.65,0.58,Beige,Wavy,Fine,Few,Minor
O002,2.43,1.43,0.22,Brown,Marbled,Medium,Moderate,Visible
O003,1.3,0.98,0.59,Beige,Marbled,Medium,Few,Visible
O004,1.94,1.25,0.74,Brown,Wavy,Fine,Many,Visible
O005,1.13,1.48,0.26,Brown,Wavy,Coarse,Moderate,Minor
O006,1.91,1.49,0.4,Light Gray,Veined,Medium,Many,Visible
O007,1.66,1.3,0.66,Dark Gray,Marbled,Coarse,Moderate,Minor
O008,2.32,1.29,0.61,Dark Gray,Speckled,Medium,Moderate,Visible
O009,2.21,1.05,0.94,Light Gray,Speckled,Medium,Few,Visible
O010,2.25,1.41,0.85,Black,Wavy,Coarse,Many,Minor
