,order_id,stock_id,matched_order_dims,order_dims_values,stock_dims_values,order_volume_m3,stock_volume_m3,utilization_ratio
25,O002,S009,"('length_m', 'height_m', 'breadth_m')","[1.76, 0.91, 1.04]","[2.52, 1.13, 1.2]",1.6656640000000003,3.4171199999999997,0.4874467387741725
24,O002,S009,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[2.52, 1.13, 1.2]",1.665664,3.4171199999999997,0.48744673877417244
15,O002,S003,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[3.09, 1.28, 0.99]",1.665664,3.915648,0.4253865516001438
288,O010,S008,"('length_m', 'breadth_m', 'height_m')","[2.29, 1.45, 0.59]","[2.53, 1.52, 1.22]",1.9590949999999998,4.691631999999999,0.4175721795741866
87,O005,S002,"('length_m', 'breadth_m', 'height_m')","[1.48, 1.17, 0.59]","[2.51, 1.22, 0.8]",1.0216439999999998,2.44976,0.4170384037620011
79,O004,S013,"('length_m', 'breadth_m', 'height_m')","[2.12, 1.29, 0.66]","[2.63, 1.34, 1.27]",1.8049680000000003,4.475734,0.403278657757588
74,O004,S008,"('length_m', 'breadth_m', 'height_m')","[2.12, 1.29, 0.66]","[2.53, 1.52, 1.22]",1.8049680000000003,4.691631999999999,0.3847207112578311
286,O010,S006,"('length_m', 'breadth_m', 'height_m')","[2.29, 1.45, 0.59]","[3.13, 1.76, 0.95]",1.9590949999999998,5.233359999999999,0.3743474555543666
34,O002,S013,"('length_m', 'height_m', 'breadth_m')","[1.76, 0.91, 1.04]","[2.63, 1.34, 1.27]",1.6656640000000003,4.475734,0.37215437736022744
33,O002,S013,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[2.63, 1.34, 1.27]",1.665664,4.475734,0.3721543773602274
38,O002,S015,"('length_m', 'height_m', 'breadth_m')","[1.76, 0.91, 1.04]","[3.02, 1.22, 1.22]",1.6656640000000003,4.494968,0.3705619261360704
37,O002,S015,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[3.02, 1.22, 1.22]",1.665664,4.494968,0.37056192613607036
291,O010,S011,"('length_m', 'breadth_m', 'height_m')","[2.29, 1.45, 0.59]","[2.52, 1.76, 1.22]",1.9590949999999998,5.410944,0.36206159221015777
22,O002,S008,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[2.53, 1.52, 1.22]",1.665664,4.691631999999999,0.3550286979029899
23,O002,S008,"('length_m', 'height_m', 'breadth_m')","[1.76, 0.91, 1.04]","[2.53, 1.52, 1.22]",1.6656640000000003,4.691631999999999,0.3550286979029899
71,O004,S006,"('length_m', 'breadth_m', 'height_m')","[2.12, 1.29, 0.66]","[3.13, 1.76, 0.95]",1.8049680000000003,5.233359999999999,0.34489658651420896
77,O004,S011,"('length_m', 'breadth_m', 'height_m')","[2.12, 1.29, 0.66]","[2.52, 1.76, 1.22]",1.8049680000000003,5.410944,0.3335772833723654
18,O002,S006,"('length_m', 'breadth_m', 'height_m')","[1.76, 1.04, 0.91]","[3.13, 1.76, 0.95]",1.665664,5.233359999999999,0.318278123423575
19,O002,S006,"('breadth_m', 'length_m', 'height_m')","[1.04, 1.76, 0.91]","[3.13, 1.76, 0.95]",1.665664,5.233359999999999,0.318278123423575
